Filename,Label,Short Name
180308 forcetrigger_0000.txt,F,
250308 forcetrigger_0000.txt,F,
bermuda grass smut_0000.txt,2,Bermuda grass
BG sp unw 160408_0000.txt,1,Bacillus Atrophaeus (unw)
BG sp unw 160408_dil_0000.txt,1,"Bacillus Atrophaeus (unw, dil)"
BG sp w 160408_0000.txt,1,Bacillus Atrophaeus (w)
BG sp w 160408_dil_0000.txt,1,"Bacillus Atrophaeus (w, dil)"
BG veg unw 150408_0000.txt,1,Bacillus Atrophaeus Vegetative Cells (unw)
BG veg unw 150408_dil_0000.txt,1,"Bacillus Atrophaeus Vegetative Cells (unw, dil)"
BG veg w 150408b_0000.txt,1,Bacillus Atrophaeus Vegetative Cells (w)
BG veg w 150408_dil_0000.txt,1,"Bacillus Atrophaeus Vegetative Cells (w, dil)"
birch rpt 270308_0000.txt,3,Birch pollen
diesel smoke 170408_0000.txt,4,Diesel smoke
EColi unw 150408_0000.txt,1,E coli. (unw)
EColi unw 150408_dil_0000.txt,1,"E coli. (unw, dil)"
EColi w 150408_0000.txt,1,E coli. (w)
EColi w 150408_dil_0000.txt,1,"E coli. (w, dil)"
Grass smoke 170408_0000.txt,4,Grass smoke I
Grass smoke 170408_0001.txt,4,Grass smoke II
johns grass smut rpt_0000.txt,2,Johnson Grass I
johnson grass smut_0000.txt,2,Johnson Grass II
p mul pollen_0000.txt,3,Paper mulberry I
paper mulberry pollen_0000.txt,3,Paper mulberry II
ragweed pollen_0000.txt,3,Ragweed I
ragweed rpt 270308_0000.txt,3,Ragweed II
