Sample,$n>9\sigma$,statistic,FL1_280,FL2_280,FL2_370,Size,AF
Bacillus Atrophaeus (unw),34,mean,214.2,142.5,163.3,2.2,10.2
,,S. D.,79.3,60.2,72.9,0.6,5.6
"Bacillus Atrophaeus (unw, dil)",4,mean,230.8,259.2,242.5,2.7,14.4
,,S. D.,243.8,162.1,142,1.8,11.3
Bacillus Atrophaeus (w),217,mean,358,121.6,110.1,2.6,12.4
,,S. D.,218.1,105.4,95.5,1.1,6.1
"Bacillus Atrophaeus (w, dil)",38,mean,276,128,123.7,2.6,14.8
,,S. D.,169.6,97.3,101.8,1,7.9
Bacillus Atrophaeus Vegetative Cells (unw),1915,mean,423.7,400.4,358,1.4,4.8
,,S. D.,384,399.3,393.3,0.6,2.4
"Bacillus Atrophaeus Vegetative Cells (unw, dil)",264,mean,244.9,166,123.1,1.2,7.5
,,S. D.,94.5,117.3,103.9,0.3,4.6
Bacillus Atrophaeus Vegetative Cells (w),573,mean,347.9,50.3,21.4,1.7,7.6
,,S. D.,230.2,72,53.9,0.9,3.9
"Bacillus Atrophaeus Vegetative Cells (w, dil)",194,mean,247.7,26.8,11.1,1.3,13.8
,,S. D.,32.6,21.4,17,0.2,6.8
E coli. (unw),1547,mean,413.7,447.1,470.3,1.5,4.8
,,S. D.,388.8,467.3,498.4,0.7,2.4
"E coli. (unw, dil)",371,mean,254.1,75.4,68.8,1.1,6.6
,,S. D.,111.1,86.8,92.2,0.2,3
E coli. (w),1461,mean,463.6,18.1,2.8,1.8,8.5
,,S. D.,360.6,34.3,24,0.9,5.2
"E coli. (w, dil)",302,mean,260,12.8,6.4,1.1,7
,,S. D.,47,22.5,24.7,0.2,3.2
Bermuda grass,423,mean,271.7,203.8,303.7,4,13.4
,,S. D.,262.6,285.5,303.1,1.5,7.3
Johnson Grass I,259,mean,510.2,380.2,344.8,4.2,9
,,S. D.,814.8,513,289.3,1.3,6.1
Johnson Grass II,378,mean,77.7,82.5,267.8,3.8,12.6
,,S. D.,41.1,96.2,161,1,6
Birch pollen,56,mean,1229.8,828.8,406.1,4.6,5.4
,,S. D.,891.9,605.8,324.5,1.7,5.8
Paper mulberry I,209,mean,730.8,1363.4,1384.5,7.9,11.2
,,S. D.,583.7,794.4,798,4.5,7.1
Paper mulberry II,103,mean,258.1,556,690.7,4,13.4
,,S. D.,340.3,663.8,682.1,2,7
Ragweed I,34,mean,1188,750.4,393.1,4.7,6.5
,,S. D.,933.1,577.8,299.9,1.4,6.5
Ragweed II,117,mean,1590.7,1089.8,484.3,5.5,5.2
,,S. D.,791.9,499.4,307.5,1.5,6.7
Diesel smoke,5,mean,284.8,281.2,173.8,1.2,4.6
,,S. D.,248.8,160.7,58.9,0.1,2.9
Grass smoke I,231,mean,10.9,106.4,262.7,2,3.3
,,S. D.,18.3,51,127.4,0.5,2
Grass smoke II,68,mean,8.6,102.1,260.3,2,4
,,S. D.,18.9,40.5,93,0.4,3.2
