File_Label,Label,Sample,$n>3\sigma$,statistic,FL1_280,FL2_280,FL2_370,Size,AF
6,1,Bacillus Atrophaeus (unwashed),1728,mean,104.5,45.5,26.5,1.2,8.4
6,1,,,S. D.,118,45.9,61.2,0.4,4.3
10,1,Bacillus Atrophaeus (washed),1322,mean,25.4,211.2,357,1.2,5
10,1,,,S. D.,69.5,222.7,376.5,0.5,2.1
11,1,E. coli (unwashed),1290,mean,104.3,174.9,317.4,1.3,6.1
11,1,,,S. D.,187.3,207.1,395.6,0.6,2.8
5,2,Puffball I,504,mean,288.2,218.1,169.3,3.4,12.1
5,2,,,S. D.,524.4,289,182,1.8,9.8
13,2,Puffball II,35,mean,-19.6,64.4,118.4,2.5,17.6
13,2,,,S. D.,17.8,49.9,107.7,0.8,8.7
14,2,Puffball III,16,mean,19.4,64.2,100.2,2.5,20.6
14,2,,,S. D.,165.4,68.4,60.3,1.2,12.3
15,3,Aspen Pollen,74,mean,131.3,301,447.6,3.7,17.2
15,3,,,S. D.,385.8,504.4,631.4,2.5,7.5
4,3,Paper mulberry pollen,541,mean,99.9,1907.9,1924.1,11.3,11.8
4,3,,,S. D.,77.9,311.9,260.9,1.6,5.5
16,3,Poplar Pollen,104,mean,163.2,338.2,496.2,3.6,17
16,3,,,S. D.,488.6,525.4,643.3,2.4,9.1
9,3,Ryegrass pollen,21,mean,110.7,278.7,569.3,3.3,18.4
9,3,,,S. D.,340,258.6,431,2.1,8.6
7,4,Fullers Earth,61,mean,180.2,114.3,148.2,3.7,16
7,4,,,S. D.,476.2,214.5,367.8,2.8,9.9
12,4,NaCl,3,mean,16.7,19.7,14.7,2,9.1
12,4,,,S. D.,5.4,24.4,32.5,0.7,5.3
8,4,Phosphate Buffered Saline,35,mean,64.2,113.9,89.1,1.4,6.2
8,4,,,S. D.,342.1,320,324.1,1.8,2.7
