Filename: 1_green_0001.csv
SampleFlowRate = 6.833 ml/s
Trigger Threshold 2 = 4
Trigger Threshold 1 = 4
Max Meas Per o/p File = 30000
Auto Forced Trig Enabled = 0
Auto Forced Trig Part Rate Thresh = 2 p/s
Peak Offset FL2_SctPk = 0 (0x0)
Integrator Offset FL2_SctInt = 69 (0x45)
Integrator Offset FL1_280 = 69 (0x45)
Integrator Offset FL2_280 = 65 (0x41)
Integrator Offset FL2_370 = 0 (0x0)
Peak Offset Pwr_280 = 0 (0x0)
Peak Offset Pwr_370 = 0 (0x0)
Peak Offset SCAT_EL1 = 0 (0x0)
Peak Offset SCAT_EL2 = 0 (0x0)
Peak Offset SCAT_EL3 = 0 (0x0)
Peak Offset SCAT_EL4 = 0 (0x0)
Scat El 2 gradient = 0.8704
Scat El 2 offset = 1.6147
Scat El 3 gradient = 1.2505
Scat El 3 offset = 1.2597
Scat El 4 gradient = 1.1150
Scat El 4 offset = 5.5825
Minimum Mean ScatEL = 20
Glitch time = 30 (0.63us)
Scat integrate pulse = 300 (6.25us)
XE1 trigger delay = 471 (9.81us)
XE1 integrate delay = 160 (3.33us)
XE1 integrate pulse = 288 (6.00us)
XE2 trigger delay = 551 (11.48us)
XE2 integrate delay = 130 (2.71us)
XE2 integrate pulse = 336 (7.00us)
Recharge time = 18000 (6000us)
FL1 280nm offset = 0
FL2 280nm offset = 0
FL2 370nm offset = 0
Start Date/Time: 01/07/2014 11:44:13
Time,FL2 SctInt,Scat_EL1,Scat_EL2,Scat_EL3,Scat_EL4,FL2 SctPk,FL1_280,FL2_280,Pwr_280,FL2_370,Pwr_370,TOF,TPCT2,Size,AF,TotalT2,MeasT2,FT,TPCT1,TotalT1
10,71,9,7,10,9,24,66,384,2047,142,1669,2.104,3,1.048,8.953,22.8,6,2,0,531
18,58,7,9,10,13,17,57,372,2047,140,1694,2.208,4,0.7153,3.604,22.8,6,2,0,531
29,52,8,8,10,10,21,52,380,2047,99,1696,1.75,3,0.9058,6.859,22.8,6,2,0,531
35,87,8,8,9,12,24,58,389,2047,168,1720,2.521,3,1.048,4.335,22.8,6,2,0,531
41,62,7,7,10,11,21,73,367,2047,118,1675,2,4,0.9058,4.118,22.8,6,2,0,531
51,51,6,8,13,11,20,52,384,2047,110,1724,1.646,6,0.8582,6.747,22.8,6,2,0,531
59,52,7,8,11,9,22,33,401,2047,144,1676,1.688,4,0.9533,8.131,22.8,6,2,0,531
66,62,9,6,9,12,19,55,341,2047,81,1700,2.292,5,0.8105,5.913,22.8,6,2,0,531
72,94,7,8,11,8,20,37,402,2047,137,1657,2.771,5,0.8582,9.692,22.8,6,2,0,531
82,63,7,8,9,9,21,55,386,2047,128,1694,2.25,3,0.9058,7.661,22.8,6,2,0,531
90,62,8,9,9,15,22,44,360,2047,122,1670,1.833,3,0.9533,3.734,22.8,6,2,0,531
96,67,8,9,11,11,30,77,374,2047,116,1700,1.938,2,1.322,6.269,22.8,6,2,0,531
104,95,7,8,10,10,24,60,426,2047,197,1710,2.646,4,1.048,6.26,22.8,6,2,0,531
115,128,9,8,11,14,15,114,727,2047,248,1683,1.896,8,0.6207,2.694,22.8,6,2,0,531
123,72,7,9,10,6,26,58,348,2047,82,1680,2.208,4,1.141,13.36,22.8,6,2,0,531
131,82,7,7,10,11,23,67,429,2047,190,1685,2.375,1,1.001,4.118,22.8,6,2,0,531
