Filename: 3.1_green_0000.csv
SampleFlowRate = 6.833 ml/s
Trigger Threshold 2 = 4
Trigger Threshold 1 = 4
Max Meas Per o/p File = 30000
Auto Forced Trig Enabled = 0
Auto Forced Trig Part Rate Thresh = 2 p/s
Peak Offset FL2_SctPk = 0 (0x0)
Integrator Offset FL2_SctInt = 69 (0x45)
Integrator Offset FL1_280 = 69 (0x45)
Integrator Offset FL2_280 = 65 (0x41)
Integrator Offset FL2_370 = 0 (0x0)
Peak Offset Pwr_280 = 0 (0x0)
Peak Offset Pwr_370 = 0 (0x0)
Peak Offset SCAT_EL1 = 0 (0x0)
Peak Offset SCAT_EL2 = 0 (0x0)
Peak Offset SCAT_EL3 = 0 (0x0)
Peak Offset SCAT_EL4 = 0 (0x0)
Scat El 2 gradient = 0.8704
Scat El 2 offset = 1.6147
Scat El 3 gradient = 1.2505
Scat El 3 offset = 1.2597
Scat El 4 gradient = 1.1150
Scat El 4 offset = 5.5825
Minimum Mean ScatEL = 20
Glitch time = 30 (0.63us)
Scat integrate pulse = 300 (6.25us)
XE1 trigger delay = 471 (9.81us)
XE1 integrate delay = 160 (3.33us)
XE1 integrate pulse = 288 (6.00us)
XE2 trigger delay = 551 (11.48us)
XE2 integrate delay = 130 (2.71us)
XE2 integrate pulse = 336 (7.00us)
Recharge time = 18000 (6000us)
FL1 280nm offset = 0
FL2 280nm offset = 0
FL2 370nm offset = 0
Start Date/Time: 01/07/2014 11:20:11
Time,FL2 SctInt,Scat_EL1,Scat_EL2,Scat_EL3,Scat_EL4,FL2 SctPk,FL1_280,FL2_280,Pwr_280,FL2_370,Pwr_370,TOF,TPCT2,Size,AF,TotalT2,MeasT2,FT,TPCT1,TotalT1
1447,1090,109,80,101,86,163,2116,23,2047,-17,1812,5.333,1,4.509,13.05,-1,-1,2,1,-1
1603,789,103,85,101,101,135,2116,48,2047,-20,1810,4.542,1,3.924,8.283,-1,-1,2,0,-1
1633,850,104,88,92,112,165,2116,33,2047,-20,1754,4.25,1,4.551,10.82,-1,-1,2,0,-1
1647,84,6,9,12,9,26,10,-2,2047,-37,1797,2.458,1,1.141,9.4,-1,-1,2,0,-1
1667,131,9,7,11,14,30,7,-3,2047,-36,1801,3.146,1,1.322,3.489,-1,-1,2,0,-1
1696,777,107,91,101,105,153,2116,20,2047,-25,1760,4.25,1,4.302,9.637,-1,-1,2,0,-1
1749,833,103,77,96,94,162,2116,18,2047,-27,1758,4.208,1,4.489,10.03,-1,-1,2,0,-1
1757,13,6,7,6,11,10,18,2,2047,-38,1769,0.7708,2,0.3901,4.752,-1,-1,2,0,-1
1782,842,114,85,101,90,180,2116,18,2047,-27,1804,3.833,1,4.859,13.78,-1,-1,2,8,-1
1861,552,58,51,56,62,104,2037,14,2047,-27,1800,4.042,1,3.261,8.098,4,3.4,2,0,30.56
1879,244,15,13,12,13,51,8,-3,2047,-37,1797,3.375,1,2.063,11.79,4,3.4,2,0,30.56
1905,495,104,90,117,121,95,1475,14,2047,-36,1800,3.979,1,3.065,3.873,4,3.4,2,0,30.56
1924,741,111,87,103,105,150,2116,25,2047,-11,1810,4.042,1,4.239,9.752,4,3.4,2,0,30.56
1950,666,110,87,107,103,161,2116,17,2047,-23,1811,3.625,1,4.468,8.897,4,3.4,2,0,30.56
1996,17,2,2,3,8,9,15,10,2047,-37,1774,1.104,1,0.3454,2.306,4,3.4,2,0,30.56
2013,412,98,87,113,109,99,1230,8,2047,-32,1797,3.438,1,3.152,3.426,4,3.4,2,0,30.56
2029,665,104,86,99,102,137,2116,20,2047,-17,1826,3.646,1,3.966,9.039,4,3.4,2,0,30.56
2036,815,103,88,88,95,183,2116,32,2047,-29,1802,3.625,3,4.92,12.98,4,3.4,2,10,30.56
2083,11,5,4,6,5,10,8,-3,2047,-37,1757,0.7917,1,0.3901,10.01,4.6,3.8,2,0,30.96
2093,31,72,68,122,83,14,18,-3,2047,-39,1755,1.479,2,0.5738,10.85,4.6,3.8,2,2,30.96
2209,57,7,7,10,7,12,77,-1,2047,-38,1750,2.417,1,0.481,10.38,7,5.2,2,0,39.52
2242,604,110,96,110,102,137,2116,31,2047,-22,1791,3.438,2,3.966,9.788,7,5.2,2,0,39.52
2291,463,79,66,78,83,128,1595,3,2047,-25,1782,3.125,1,3.775,7.315,7,5.2,2,0,39.52
2320,685,104,90,97,94,174,2116,25,2047,-27,1813,3.542,3,4.736,11.56,7,5.2,2,0,39.52
2327,14,3,3,3,6,11,8,-3,2047,-44,1760,0.9375,2,0.4353,5.405,7,5.2,2,0,39.52
2348,352,91,81,105,100,90,1304,10,2047,-34,1847,3.104,2,2.956,3.674,7,5.2,2,0,39.52
2358,559,104,86,97,99,128,2116,48,2047,-27,1784,3.375,1,3.775,9.954,7,5.2,2,16,39.52
2444,95,9,9,9,11,24,12,4,2047,-39,1811,2.563,3,1.048,7.292,8.2,5.8,2,0,35.43
2516,669,109,86,99,96,166,2116,16,2047,-33,1811,3.458,1,4.571,11.41,8.2,5.8,2,0,35.43
2576,720,104,80,94,98,166,2116,21,2047,-19,1789,3.479,2,4.571,10.3,8.2,5.8,2,4,35.43
2666,676,110,77,98,88,165,2116,24,2047,-22,1776,3.396,1,4.551,13.35,9.8,7.2,2,0,33.29
2675,12,5,5,6,5,13,11,2,2047,-30,1809,0.8958,1,0.5272,10.32,9.8,7.2,2,0,33.29
2710,71,9,10,11,16,21,1,-2,2047,-34,1827,2.208,1,0.9058,2.901,9.8,7.2,2,0,33.29
2716,662,104,79,93,94,165,2116,27,2047,-12,1736,3.458,1,4.551,11.06,9.8,7.2,2,0,33.29
2737,422,95,82,111,112,92,1470,6,2047,-36,1761,3.354,2,3,2.696,9.8,7.2,2,0,33.29
2795,631,114,93,105,109,153,2116,22,2047,-29,1817,3.521,1,4.302,10.12,9.8,7.2,2,0,33.29
2859,441,101,91,118,111,107,1369,6,2047,-33,1800,3.313,1,3.326,3.636,9.8,7.2,2,7,33.29
2935,730,25,102,17,128,179,37,12,2047,-37,1773,3.583,1,4.838,55.1,12.2,8.8,2,0,35.35
2953,646,114,85,101,104,143,2116,22,2047,-31,1787,3.354,2,4.092,11.18,12.2,8.8,2,0,35.35
2964,355,103,88,115,107,94,1335,2112,2047,1883,1774,2.875,1,3.044,4.741,12.2,8.8,2,0,35.35
3004,370,100,89,113,115,102,1425,2112,2047,2047,1793,3.208,1,3.218,3.94,12.2,8.8,2,0,35.35
3017,367,104,92,118,115,97,1498,2112,2047,1886,1761,3,2,3.109,3.87,12.2,8.8,2,0,35.35
3075,398,101,88,112,116,92,1628,2112,2047,2047,1818,3.5,1,3,4.275,12.2,8.8,2,0,35.35
3091,370,95,82,108,107,103,1498,2112,2047,2047,1799,3.208,3,3.239,3.3,12.2,8.8,2,0,35.35
3116,354,101,86,118,111,92,1473,2112,2047,2047,1786,3.125,1,3,2.668,12.2,8.8,2,12,35.35
3154,358,106,90,113,117,106,1448,2112,2047,1769,1818,2.875,1,3.304,5.224,12.8,9.4,2,0,34.89
3199,44,13,12,17,17,15,8,-4,2047,-37,1826,1.854,1,0.6207,3.987,12.8,9.4,2,0,34.89
3224,336,102,87,113,119,87,1479,2112,2047,1814,1807,2.938,1,2.891,4.346,12.8,9.4,2,3,34.89
3239,385,95,86,107,109,99,1440,2112,2047,2047,1823,3.208,1,3.152,4.346,13.2,9.8,2,0,35.54
3248,378,102,89,113,118,89,1452,2112,2047,2047,1771,3.083,1,2.934,4.385,13.2,9.8,2,2,35.54
3277,394,108,93,122,122,109,1431,2112,2047,1651,1745,3.125,1,3.369,3.512,13.4,10,2,3,36.61
3304,588,98,91,112,114,139,1548,2112,2047,2047,1780,3.458,2,4.008,4.519,13.8,10.2,2,1,36.62
3338,370,103,90,112,117,94,1380,2112,2047,2047,1775,3.188,1,3.044,4.92,14.2,10.6,2,0,36.75
3352,381,101,85,116,107,94,1510,2112,2047,2047,1803,2.958,1,3.044,3.655,14.2,10.6,2,2,36.75
3381,443,101,90,116,119,96,1319,2112,2047,2047,1787,3.438,1,3.087,3.581,14.6,11,2,0,36.94
3396,353,103,91,115,117,96,1530,2112,2047,1665,1785,2.958,1,3.087,4.21,14.6,11,2,2,36.94
3420,381,106,93,120,118,102,1358,2112,2047,1676,1817,3,1,3.218,3.724,14.8,11.2,2,3,38.01
3438,383,100,88,116,115,97,1566,2112,2047,2047,1812,3.125,2,3.109,2.883,15.4,11.6,2,0,38.58
3443,589,99,92,112,110,139,1533,2112,2047,2047,1820,3.521,1,4.008,5.133,15.4,11.6,2,2,38.58
3490,509,106,87,114,110,131,1380,2112,2047,1869,1753,3.292,1,3.839,5.214,16,12,2,0,39.02
3497,369,108,91,118,118,105,-14,-15,1,-75,1,3.063,2,3.282,4.441,16,12,2,3,39.02
3532,403,108,93,121,118,102,1583,2112,2047,1967,1809,3.208,1,3.218,3.912,16.2,12.2,2,1,38.85
3553,461,103,89,116,115,98,1499,2112,2047,2047,1775,3.438,1,3.131,3.645,16.6,12.6,2,0,39.26
3561,434,103,87,117,113,95,1650,2112,2047,2047,1822,3.542,1,3.065,3.324,16.6,12.6,2,2,39.26
3639,547,102,94,107,116,139,1348,2112,2047,1794,1788,3.354,1,4.008,7.024,18.6,14.2,2,0,38.78
3667,344,103,88,115,117,99,1528,2112,2047,1948,1777,3.375,1,3.152,3.837,18.6,14.2,2,0,38.78
3704,609,96,87,105,109,144,1481,2112,2047,2047,1788,3.563,1,4.113,5.309,18.6,14.2,2,0,38.78
3727,319,101,90,114,116,79,1354,2112,2047,1755,1783,3,1,2.715,4.002,18.6,14.2,2,0,38.78
3760,369,107,95,118,124,101,1337,2112,2047,1957,1780,3.125,1,3.196,4.814,18.6,14.2,2,0,38.78
3790,409,99,90,116,114,101,1514,2112,2047,2047,1750,3.25,3,3.196,3.22,18.6,14.2,2,0,38.78
3823,607,112,85,104,95,155,2116,23,2047,-30,1785,3.292,1,4.343,11.52,18.6,14.2,2,0,38.78
3845,602,99,85,111,110,151,1400,2112,2047,1782,1817,3.208,1,4.26,3.729,18.6,14.2,2,10,38.78
3867,340,101,91,115,114,88,1439,2112,2047,1940,1767,2.979,1,2.913,3.986,19.2,14.6,2,0,39.54
3875,381,106,91,118,117,100,1547,2112,2047,2047,1757,3.188,2,3.174,3.987,19.2,14.6,2,3,39.54
3894,378,102,94,118,121,98,1312,2112,2047,1769,1814,3.083,1,3.131,4.045,19.4,14.8,2,2,40.05
3996,361,103,86,113,117,96,1634,2112,2047,1915,1778,2.917,2,3.087,4.347,21.6,16.8,2,0,39.6
4010,353,103,92,113,116,92,1355,2112,2047,1671,1793,2.917,1,3,4.978,21.6,16.8,2,0,39.6
4040,357,107,92,117,118,101,1428,2112,2047,1778,1788,2.979,1,3.196,4.561,21.6,16.8,2,0,39.6
4071,368,106,92,121,120,104,1399,2112,2047,1728,1835,2.958,1,3.261,3.243,21.6,16.8,2,0,39.6
4078,615,109,84,96,95,166,2116,27,2047,-27,1784,3.313,1,4.571,12.07,21.6,16.8,2,0,39.6
4097,426,104,89,120,118,87,1477,2112,2047,2047,1754,3.583,1,2.891,2.781,21.6,16.8,2,0,39.6
4134,364,99,89,116,112,95,1571,2112,2047,1752,1792,3,1,3.065,3.065,21.6,16.8,2,0,39.6
4152,352,104,89,112,111,102,1493,2112,2047,1772,1804,2.938,1,3.218,5.188,21.6,16.8,2,0,39.6
4162,605,110,90,106,104,152,2116,21,2047,-30,1808,3.271,1,4.281,9.208,21.6,16.8,2,0,39.6
4174,367,93,85,109,109,87,1707,2112,2047,2047,1809,3.292,1,2.891,3.296,21.6,16.8,2,10,39.6
4243,123,9,7,11,12,34,9,-4,2047,-37,1813,2.375,1,1.493,5.206,21.8,17,2,3,39.7
4287,360,95,83,104,109,94,1486,2112,2047,2047,1729,2.958,2,3.044,4.677,22.2,17.2,2,1,39.44
4321,352,99,86,109,114,90,1553,2112,2047,1949,1825,3.188,1,2.956,4.485,22.4,17.4,2,3,40.01
4343,435,101,86,114,118,105,1617,2112,2047,2047,1773,3.479,2,3.282,3.744,23,17.8,2,0,40.26
4353,348,104,87,115,116,92,1405,2112,2047,1688,1800,2.979,1,3,4.012,23,17.8,2,2,40.26
4379,352,105,89,115,116,97,1468,2112,2047,1764,1800,3.021,1,3.109,4.366,23.4,18.2,2,0,40.46
4388,355,104,86,113,114,95,1444,2112,2047,2013,1763,3.042,1,3.065,4.516,23.4,18.2,2,2,40.46
4447,417,103,84,110,109,82,1360,2112,2047,2047,1751,3.646,1,2.781,5.147,23.8,18.6,2,0,40.17
4459,423,102,93,119,121,97,1425,2112,2047,2047,1795,3.458,1,3.109,3.531,23.8,18.6,2,2,40.17
4480,107,22,22,20,30,25,8,-4,2047,-45,1762,2.646,1,1.095,8.401,24.2,19,2,0,40.21
4506,395,105,92,120,122,103,1491,2112,2047,2047,1837,3.167,1,3.239,3.429,24.2,19,2,2,40.21
4527,419,105,91,117,115,103,1471,2112,2047,2047,1799,3.458,1,3.239,4.135,24.4,19.2,2,1,40.26
4556,335,105,90,113,110,93,1390,2112,2047,1800,1803,2.833,1,3.022,5.469,24.6,19.4,2,1,40.21
