Filename: FT2_0000.csv
SampleFlowRate = 6.833 ml/s
Trigger Threshold 2 = 4
Trigger Threshold 1 = 4
Max Meas Per o/p File = 30000
Auto Forced Trig Enabled = 0
Auto Forced Trig Part Rate Thresh = 2 p/s
Peak Offset FL2_SctPk = 0 (0x0)
Integrator Offset FL2_SctInt = 69 (0x45)
Integrator Offset FL1_280 = 69 (0x45)
Integrator Offset FL2_280 = 65 (0x41)
Integrator Offset FL2_370 = 0 (0x0)
Peak Offset Pwr_280 = 0 (0x0)
Peak Offset Pwr_370 = 0 (0x0)
Peak Offset SCAT_EL1 = 0 (0x0)
Peak Offset SCAT_EL2 = 0 (0x0)
Peak Offset SCAT_EL3 = 0 (0x0)
Peak Offset SCAT_EL4 = 0 (0x0)
Scat El 2 gradient = 0.8704
Scat El 2 offset = 1.6147
Scat El 3 gradient = 1.2505
Scat El 3 offset = 1.2597
Scat El 4 gradient = 1.1150
Scat El 4 offset = 5.5825
Minimum Mean ScatEL = 20
Glitch time = 30 (0.63us)
Scat integrate pulse = 300 (6.25us)
XE1 trigger delay = 471 (9.81us)
XE1 integrate delay = 160 (3.33us)
XE1 integrate pulse = 288 (6.00us)
XE2 trigger delay = 551 (11.48us)
XE2 integrate delay = 130 (2.71us)
XE2 integrate pulse = 336 (7.00us)
Recharge time = 18000 (6000us)
FL1 280nm offset = 0
FL2 280nm offset = 0
FL2 370nm offset = 0
Start Date/Time: 01/07/2014 11:47:35
Time,FL2 SctInt,Scat_EL1,Scat_EL2,Scat_EL3,Scat_EL4,FL2 SctPk,FL1_280,FL2_280,Pwr_280,FL2_370,Pwr_370,TOF,TPCT2,Size,AF,TotalT2,MeasT2,FT,TPCT1,TotalT1
705,0,2,2,1,1,1,4,-4,2047,-40,1796,0,1,0.01629,-1,2738,119.6,3,0,2488
1409,0,3,1,2,4,0,6,-4,2047,-42,1787,0,1,0,-1,2288,100,3,0,2050
2115,0,1,1,2,2,1,8,-2,2047,-30,1761,0,1,0.01629,-1,1818,79.2,3,0,1640
2819,1,1,2,2,4,1,11,0,2047,-33,1794,0,1,0.01629,-1,1320,58.8,3,0,1180
3525,1,2,1,2,2,1,19,0,2047,-39,1772,0,1,0.01629,-1,877,39.2,3,0,827.3
4230,0,2,1,2,1,1,9,-1,2047,-47,1781,0,1,0.01629,-1,460.6,20.4,3,0,477.5
4934,0,1,2,3,4,1,7,-2,2047,-37,1767,0,1,0.01629,-1,52,2.2,3,0,74.85
5640,0,2,1,2,5,1,11,-1,2047,-46,1779,0,1,0.01629,-1,0,0,3,0,65.65
6345,0,0,0,1,5,1,16,-7,2047,-36,1799,0,1,0.01629,-1,0,0,3,0,0
7051,0,2,1,3,3,1,9,-3,2047,-38,1771,0,1,0.01629,-1,0,0,3,0,0
7755,0,1,3,2,1,0,8,-4,2047,-40,1784,0,1,0,-1,0,0,3,0,0
8461,1,3,1,1,3,1,7,-7,2047,-42,1765,0,1,0.01629,-1,0,0,3,0,0
9165,0,2,1,1,4,0,6,-2,2047,-38,1820,0,1,0,-1,0,0,3,0,0
9870,0,2,0,1,3,1,-2,-5,2047,-38,1793,0,1,0.01629,-1,0,0,3,0,0
10576,0,2,1,2,3,1,13,1,2047,-41,1776,0,1,0.01629,-1,0,0,3,0,0
11280,0,1,2,2,3,1,16,0,2047,-41,1745,0,1,0.01629,-1,0,0,3,0,0
