Filename: FT_0000.csv
SampleFlowRate = 6.833 ml/s
Trigger Threshold 2 = 4
Trigger Threshold 1 = 4
Max Meas Per o/p File = 30000
Auto Forced Trig Enabled = 0
Auto Forced Trig Part Rate Thresh = 2 p/s
Peak Offset FL2_SctPk = 0 (0x0)
Integrator Offset FL2_SctInt = 69 (0x45)
Integrator Offset FL1_280 = 69 (0x45)
Integrator Offset FL2_280 = 65 (0x41)
Integrator Offset FL2_370 = 0 (0x0)
Peak Offset Pwr_280 = 0 (0x0)
Peak Offset Pwr_370 = 0 (0x0)
Peak Offset SCAT_EL1 = 0 (0x0)
Peak Offset SCAT_EL2 = 0 (0x0)
Peak Offset SCAT_EL3 = 0 (0x0)
Peak Offset SCAT_EL4 = 0 (0x0)
Scat El 2 gradient = 0.8704
Scat El 2 offset = 1.6147
Scat El 3 gradient = 1.2505
Scat El 3 offset = 1.2597
Scat El 4 gradient = 1.1150
Scat El 4 offset = 5.5825
Minimum Mean ScatEL = 20
Glitch time = 30 (0.63us)
Scat integrate pulse = 300 (6.25us)
XE1 trigger delay = 471 (9.81us)
XE1 integrate delay = 160 (3.33us)
XE1 integrate pulse = 288 (6.00us)
XE2 trigger delay = 551 (11.48us)
XE2 integrate delay = 130 (2.71us)
XE2 integrate pulse = 336 (7.00us)
Recharge time = 18000 (6000us)
FL1 280nm offset = 0
FL2 280nm offset = 0
FL2 370nm offset = 0
Start Date/Time: 01/07/2014 11:10:11
Time,FL2 SctInt,Scat_EL1,Scat_EL2,Scat_EL3,Scat_EL4,FL2 SctPk,FL1_280,FL2_280,Pwr_280,FL2_370,Pwr_370,TOF,TPCT2,Size,AF,TotalT2,MeasT2,FT,TPCT1,TotalT1
705,0,1,3,1,4,1,11,-6,2047,-44,1769,0,1,0.01629,-1,11.4,11,3,0,7.988
1409,0,1,1,2,3,1,3,-1,2047,-37,1754,0,1,0.01629,-1,10.4,10,3,0,7.384
2115,1,2,1,1,5,0,10,-3,2047,-35,1774,0,1,0,-1,8,7.6,3,0,6.162
2819,0,1,3,2,4,1,6,-4,2047,-33,1786,0,1,0.01629,-1,5.4,5.4,3,0,5.093
3525,0,2,4,1,2,1,12,2,2047,-33,1741,0,1,0.01629,-1,3.4,3.4,3,0,2.93
4230,0,2,1,2,1,1,2,-3,2047,-32,1795,0,1,0.01629,-1,2,2,3,0,1.522
4934,0,1,2,3,2,1,10,-2,2047,-41,1731,0,1,0.01629,-1,0.2,0.2,3,0,0.5666
5640,0,2,3,2,1,1,6,1,2047,-41,1780,0,1,0.01629,-1,0,0,3,0,0
6345,1,1,0,1,4,1,7,0,2047,-32,1749,0,1,0.01629,-1,0,0,3,0,0
7051,1,2,3,2,2,1,5,-3,2047,-32,1813,0,1,0.01629,-1,0,0,3,0,0
7755,0,1,0,1,2,0,11,-4,2047,-39,1775,0,1,0,-1,0,0,3,0,0
8461,1,0,0,2,3,1,1,-4,2047,-40,1822,0,1,0.01629,-1,0,0,3,0,0
9165,0,1,3,4,1,1,17,-1,2047,-38,1815,0,1,0.01629,-1,0,0,3,0,0
9870,0,2,2,4,3,1,16,-2,2047,-36,1791,0,1,0.01629,-1,0,0,3,0,0
10576,0,0,2,3,2,0,3,-2,2047,-37,1761,0,1,0,-1,0,0,3,0,0
11280,0,1,1,2,2,1,16,-2,2047,-30,1819,0,1,0.01629,-1,0,0,3,0,0
11986,0,1,0,1,2,1,11,-2,2047,-37,1816,0,1,0.01629,-1,0,0,3,0,0
12691,0,1,1,2,2,1,-1,2,2047,-40,1749,0,1,0.01629,-1,0,0,3,0,0
13397,1,1,1,2,1,1,5,0,2047,-27,1802,0,1,0.01629,-1,0,0,3,0,0
14101,1,1,1,2,2,0,17,1,2047,-25,1757,0,1,0,-1,0,0,3,0,0
14806,0,3,2,1,4,1,9,-5,2047,-32,1808,0,1,0.01629,-1,0,0,3,0,0
15512,0,1,2,2,2,1,11,-4,2047,-34,1817,0,1,0.01629,-1,0,0,3,0,0
16216,0,1,3,2,5,1,16,2,2047,-39,1803,0,1,0.01629,-1,0,0,3,0,0
16922,1,1,0,3,4,1,6,-3,2047,-31,1785,0,1,0.01629,-1,0,0,3,0,0
17626,0,0,0,3,6,0,13,3,2047,-31,1780,0,1,0,-1,0,0,3,0,0
18332,1,2,2,1,3,1,10,2,2047,-36,1811,0,1,0.01629,-1,0,0,3,0,0
19037,0,2,1,1,2,1,8,-1,2047,-35,1818,0,1,0.01629,-1,0,0,3,0,0
19741,1,4,1,2,3,1,4,-1,2047,-34,1811,0,1,0.01629,-1,0,0,3,0,0
20447,0,1,0,2,1,1,9,1,2047,-35,1823,0,1,0.01629,-1,0,0,3,0,0
21152,0,2,1,1,2,1,21,-3,2047,-35,1783,0,1,0.01629,-1,0,0,3,0,0
21858,0,1,1,1,2,1,6,3,2047,-32,1776,0,1,0.01629,-1,0,0,3,0,0
22562,0,0,1,1,3,1,6,-6,2047,-36,1776,0,1,0.01629,-1,0,0,3,0,0
23267,1,3,1,3,5,1,7,-3,2047,-36,1754,0,1,0.01629,-1,0,0,3,0,0
23973,1,2,3,1,1,0,11,-1,2047,-37,1778,0,1,0,-1,0,0,3,0,0
24677,0,2,1,3,0,1,8,-4,2047,-26,1813,0,1,0.01629,-1,0,0,3,0,0
25383,0,1,2,1,3,1,10,-4,2047,-35,1741,0,1,0.01629,-1,0,0,3,0,0
26087,0,0,1,2,2,1,6,-3,2047,-37,1755,0,1,0.01629,-1,0,0,3,0,0
26793,0,2,1,1,1,1,1,4,2047,-34,1813,0,1,0.01629,-1,0,0,3,0,0
27498,0,1,1,1,0,0,17,-6,2047,-36,1798,0,1,0,-1,0,0,3,0,0
28202,1,1,1,1,4,1,20,-1,2047,-33,1808,0,1,0.01629,-1,0,0,3,0,0
28908,1,2,1,1,5,0,7,-2,2047,-34,1764,0,1,0,-1,0,0,3,0,0
29613,0,0,1,1,2,1,12,-3,2047,-43,1773,0,1,0.01629,-1,0,0,3,0,0
30319,1,1,0,2,3,1,10,-5,2047,-43,1773,0,1,0.01629,-1,0,0,3,0,0
31023,0,0,2,1,1,1,12,-1,2047,-37,1752,0,1,0.01629,-1,0,0,3,0,0
31729,1,0,3,3,5,1,9,-3,2047,-34,1770,0,1,0.01629,-1,0,0,3,0,0
32433,0,1,2,1,2,1,4,-5,2047,-31,1815,0,1,0.01629,-1,0,0,3,0,0
33138,0,1,1,2,0,1,14,-2,2047,-37,1731,0,1,0.01629,-1,0,0,3,0,0
33844,0,2,0,2,1,0,19,-1,2047,-43,1780,0,1,0,-1,0,0,3,0,0
34548,0,0,1,5,4,1,4,-3,2047,-36,1793,0,1,0.01629,-1,0,0,3,0,0
35254,1,1,1,1,4,0,9,0,2047,-39,1788,0,1,0,-1,0,0,3,0,0
35959,0,3,1,1,1,0,7,-3,2047,-35,1813,0,1,0,-1,0,0,3,0,0
36665,1,1,2,2,0,0,4,-5,2047,-37,1781,0,1,0,-1,0,0,3,0,0
37369,1,1,0,3,3,1,8,-6,2047,-32,1746,0,1,0.01629,-1,0,0,3,0,0
38074,0,0,1,1,2,0,12,-1,2047,-38,1781,0,1,0,-1,0,0,3,0,0
38780,0,2,1,3,2,1,5,0,2047,-28,1794,0,1,0.01629,-1,0,0,3,0,0
39484,1,1,1,1,4,0,14,0,2047,-36,1787,0,1,0,-1,0,0,3,0,0
40190,0,1,2,3,4,1,11,0,2047,-38,1805,0,1,0.01629,-1,0,0,3,0,0
40894,1,1,3,3,3,0,6,-9,2047,-37,1756,0,1,0,-1,0,0,3,0,0
41600,1,2,2,2,1,1,10,-2,2047,-44,1766,0,1,0.01629,-1,0,0,3,0,0
42305,0,4,0,1,5,0,6,-3,2047,-33,1750,0,1,0,-1,0,0,3,0,0
43009,0,2,2,1,1,1,4,-2,2047,-35,1766,0,1,0.01629,-1,0,0,3,0,0
43715,0,0,0,1,1,1,18,-7,2047,-43,1782,0,1,0.01629,-1,0,0,3,0,0
44420,1,2,2,2,3,0,9,-2,2047,-37,1746,0,1,0,-1,0,0,3,0,0
45126,0,1,3,2,6,1,11,-4,2047,-37,1759,0,1,0.01629,-1,0,0,3,0,0
45830,1,1,3,2,0,1,12,1,2047,-32,1762,0,1,0.01629,-1,0,0,3,0,0
46535,0,2,1,2,1,0,7,-2,2047,-39,1733,0,1,0,-1,0,0,3,0,0
47241,1,2,2,1,3,1,5,-2,2047,-24,1806,0,1,0.01629,-1,0,0,3,0,0
47945,0,1,1,2,1,0,10,-6,2047,-35,1826,0,1,0,-1,0,0,3,0,0
48651,0,1,3,2,2,0,8,2,2047,-45,1800,0,1,0,-1,0,0,3,0,0
49355,0,1,0,1,2,0,9,-2,2047,-37,1760,0,1,0,-1,0,0,3,0,0
50061,0,1,1,1,4,0,8,0,2047,-40,1725,0,1,0,-1,0,0,3,0,0
50766,1,1,1,4,2,1,5,-3,2047,-41,1811,0,1,0.01629,-1,0,0,3,0,0
51470,0,1,3,3,2,0,7,-4,2047,-41,1767,0,1,0,-1,0,0,3,0,0
52176,0,3,1,1,3,1,3,-2,2047,-35,1819,0,1,0.01629,-1,0,0,3,0,0
52881,0,1,0,1,0,1,5,-2,2047,-39,1812,0,1,0.01629,-1,0,0,3,0,0
53587,0,4,3,1,1,1,15,-3,2047,-42,1772,0,1,0.01629,-1,0,0,3,0,0
54291,0,1,2,2,4,1,6,-3,2047,-29,1824,0,1,0.01629,-1,0,0,3,0,0
54997,0,1,3,2,2,1,10,-8,2047,-26,1819,0,1,0.01629,-1,0,0,3,0,0
55702,0,2,0,1,2,1,11,-7,2047,-34,1744,0,1,0.01629,-1,0,0,3,0,0
56406,0,1,2,2,1,1,10,-2,2047,-34,1783,0,1,0.01629,-1,0,0,3,0,0
57112,1,1,0,1,1,1,10,-5,2047,-37,1807,0,1,0.01629,-1,0,0,3,0,0
57816,0,2,1,3,0,1,6,0,2047,-39,1797,0,1,0.01629,-1,0,0,3,0,0
58522,1,1,1,1,2,1,9,0,2047,-35,1797,0,1,0.01629,-1,0,0,3,0,0
59227,0,2,1,2,4,1,6,-4,2047,-38,1779,0,1,0.01629,-1,0,0,3,0,0
59933,0,0,1,2,4,1,13,-3,2047,-37,1791,0,1,0.01629,-1,0,0,3,0,0
60637,0,1,3,2,1,0,4,1,2047,-35,1779,0,1,0,-1,0,0,3,0,0
61342,0,2,3,1,1,0,10,-4,2047,-33,1814,0,1,0,-1,0,0,3,0,0
62048,0,1,2,4,2,1,9,-3,2047,-33,1749,0,1,0.01629,-1,0,0,3,0,0
62752,0,1,1,1,2,1,12,-4,2047,-35,1804,0,1,0.01629,-1,0,0,3,0,0
63458,1,0,1,1,2,1,2,-1,2047,-37,1815,0,1,0.01629,-1,0,0,3,0,0
64162,0,1,2,4,2,0,11,-2,2047,-38,1799,0,1,0,-1,0,0,3,0,0
64868,1,1,1,1,3,1,8,-1,2047,-33,1798,0,1,0.01629,-1,0,0,3,0,0
65573,0,2,2,1,3,0,2,-6,2047,-33,1769,0,1,0,-1,0,0,3,0,0
66277,0,2,3,2,0,0,10,-3,2047,-41,1756,0,1,0,-1,0,0,3,0,0
66983,0,1,1,1,0,0,8,-1,2047,-35,1750,0,1,0,-1,0,0,3,0,0
67688,0,3,2,2,3,1,12,-2,2047,-37,1809,0,1,0.01629,-1,0,0,3,0,0
68394,0,1,1,3,1,1,7,-3,2047,-40,1785,0,1,0.01629,-1,0,0,3,0,0
69098,1,0,2,2,2,0,9,0,2047,-38,1812,0,1,0,-1,0,0,3,0,0
69803,0,1,2,1,4,0,10,-3,2047,-38,1755,0,1,0,-1,0,0,3,0,0
70509,1,1,1,3,3,1,5,0,2047,-39,1797,0,1,0.01629,-1,0,0,3,0,0
71213,1,2,2,5,3,1,-1,-3,2047,-39,1774,0,1,0.01629,-1,0,0,3,0,0
71919,1,1,4,3,3,0,11,0,2047,-36,1816,0,1,0,-1,0,0,3,0,0
72623,0,1,2,2,2,1,8,-2,2047,-37,1819,0,1,0.01629,-1,0,0,3,0,0
73329,0,0,1,1,3,1,2,-3,2047,-29,1796,0,1,0.01629,-1,0,0,3,0,0
74034,0,1,1,2,3,1,13,-1,2047,-32,1805,0,1,0.01629,-1,0,0,3,0,0
74738,0,3,2,2,3,0,12,-7,2047,-41,1793,0,1,0,-1,0,0,3,0,0
75444,0,3,0,3,1,0,8,-1,2047,-44,1803,0,1,0,-1,0,0,3,0,0
76149,0,2,4,2,2,0,15,-6,2047,-34,1775,0,1,0,-1,0,0,3,0,0
76855,0,1,1,3,2,0,20,5,2047,-31,1820,0,1,0,-1,0,0,3,0,0
77559,0,1,0,1,3,1,7,1,2047,-35,1774,0,1,0.01629,-1,0,0,3,0,0
78265,1,2,1,1,3,1,16,-2,2047,-36,1757,0,1,0.01629,-1,0,0,3,0,0
78970,1,0,2,2,5,1,9,-5,2047,-36,1745,0,1,0.01629,-1,0,0,3,0,0
